0;10;(Gare d'Austerlitz/Boulogne - Pont de Saint Cloud)
1;11;(Châtelet/Mairie des Lilas)
2;12;(Front Populaire/Mairie d'Issy)
3;13;(Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge)
4;14;(Olympiades/Saint-Lazare)
5;1;(La Défense/Château de Vincennes)
6;2;(Porte Dauphine (Maréchal de Lattre de Ta/Nation)
7;3B;(Gambetta/Porte des Lilas)
8;3;(Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet))
9;4;(Mairie de Montrouge/Porte de Clignancourt)
10;5;(Place d'Italie/Bobigny - Pablo Picasso)
11;6;(Charles de Gaulle - Etoile/Nation)
12;7B;(Louis Blanc/Pré-Saint-Gervais)
13;7;(Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945)
14;8;(Pointe du Lac/Balard)
15;9;(Mairie de Montreuil/Pont de Sèvres)
16;FUN;(Gare haute/Gare basse)
17;ORV;(Orly-Sud/Antony)
