id_station;ligne;type
1913;1 (La D‚fense/Chƒteau de Vincennes);metro
1986;1 (La D‚fense/Chƒteau de Vincennes);metro
1846;1 (La D‚fense/Chƒteau de Vincennes);metro
1855;1 (La D‚fense/Chƒteau de Vincennes);metro
1774;1 (La D‚fense/Chƒteau de Vincennes);metro
1839;1 (La D‚fense/Chƒteau de Vincennes);metro
1662;1 (La D‚fense/Chƒteau de Vincennes);metro
1953;1 (La D‚fense/Chƒteau de Vincennes);metro
1640;1 (La D‚fense/Chƒteau de Vincennes);metro
1938;1 (La D‚fense/Chƒteau de Vincennes);metro
1709;1 (La D‚fense/Chƒteau de Vincennes);metro
1695;1 (La D‚fense/Chƒteau de Vincennes);metro
1802;1 (La D‚fense/Chƒteau de Vincennes);metro
1850;1 (La D‚fense/Chƒteau de Vincennes);metro
1809;1 (La D‚fense/Chƒteau de Vincennes);metro
1716;1 (La D‚fense/Chƒteau de Vincennes);metro
1758;1 (La D‚fense/Chƒteau de Vincennes);metro
1733;1 (La D‚fense/Chƒteau de Vincennes);metro
1690;1 (La D‚fense/Chƒteau de Vincennes);metro
1949;1 (La D‚fense/Chƒteau de Vincennes);metro
2000;1 (La D‚fense/Chƒteau de Vincennes);metro
1924;1 (La D‚fense/Chƒteau de Vincennes);metro
1962;1 (La D‚fense/Chƒteau de Vincennes);metro
1964;1 (La D‚fense/Chƒteau de Vincennes);metro
1885;1 (La D‚fense/Chƒteau de Vincennes);metro
1862;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1866;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1632;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
2018;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1770;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1908;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1838;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1874;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1911;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
2019;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1643;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1942;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
54244;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1836;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1994;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1812;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1950;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1717;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1834;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1631;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1837;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1746;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1952;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1679;11 (Chƒtelet/Mairie des Lilas);metro
55329;11 (Chƒtelet/Mairie des Lilas);metro
1964;11 (Chƒtelet/Mairie des Lilas);metro
1855;11 (Chƒtelet/Mairie des Lilas);metro
1745;11 (Chƒtelet/Mairie des Lilas);metro
1819;11 (Chƒtelet/Mairie des Lilas);metro
1792;11 (Chƒtelet/Mairie des Lilas);metro
1988;11 (Chƒtelet/Mairie des Lilas);metro
1849;11 (Chƒtelet/Mairie des Lilas);metro
1736;11 (Chƒtelet/Mairie des Lilas);metro
55330;11 (Chƒtelet/Mairie des Lilas);metro
2004;11 (Chƒtelet/Mairie des Lilas);metro
1864;11 (Chƒtelet/Mairie des Lilas);metro
1781;12 (Front Populaire/Mairie d'Issy);metro
1732;12 (Front Populaire/Mairie d'Issy);metro
1661;12 (Front Populaire/Mairie d'Issy);metro
1989;12 (Front Populaire/Mairie d'Issy);metro
1918;12 (Front Populaire/Mairie d'Issy);metro
1689;12 (Front Populaire/Mairie d'Issy);metro
1828;12 (Front Populaire/Mairie d'Issy);metro
1638;12 (Front Populaire/Mairie d'Issy);metro
1632;12 (Front Populaire/Mairie d'Issy);metro
1814;12 (Front Populaire/Mairie d'Issy);metro
1622;12 (Front Populaire/Mairie d'Issy);metro
1734;12 (Front Populaire/Mairie d'Issy);metro
1975;12 (Front Populaire/Mairie d'Issy);metro
1656;12 (Front Populaire/Mairie d'Issy);metro
1767;12 (Front Populaire/Mairie d'Issy);metro
1751;12 (Front Populaire/Mairie d'Issy);metro
1865;12 (Front Populaire/Mairie d'Issy);metro
1831;12 (Front Populaire/Mairie d'Issy);metro
1787;12 (Front Populaire/Mairie d'Issy);metro
1645;12 (Front Populaire/Mairie d'Issy);metro
1674;12 (Front Populaire/Mairie d'Issy);metro
1686;12 (Front Populaire/Mairie d'Issy);metro
1813;12 (Front Populaire/Mairie d'Issy);metro
1879;12 (Front Populaire/Mairie d'Issy);metro
1768;12 (Front Populaire/Mairie d'Issy);metro
454595;12 (Front Populaire/Mairie d'Issy);metro
1889;12 (Front Populaire/Mairie d'Issy);metro
1887;12 (Front Populaire/Mairie d'Issy);metro
1885;12 (Front Populaire/Mairie d'Issy);metro
1731;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1790;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1818;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
22439;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
228266;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1927;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
22443;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1857;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1783;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
50622;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1725;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1816;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1844;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
22441;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1751;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1949;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
50399;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
225437;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1968;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1908;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1705;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1851;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1730;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1689;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1644;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1747;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1872;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1685;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
22442;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1931;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
1804;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
225436;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chƒtillon - Montrouge);metro
171507;14 (Olympiades/Saint-Lazare);metro
2005;14 (Olympiades/Saint-Lazare);metro
51020;14 (Olympiades/Saint-Lazare);metro
1964;14 (Olympiades/Saint-Lazare);metro
1689;14 (Olympiades/Saint-Lazare);metro
1839;14 (Olympiades/Saint-Lazare);metro
50055;14 (Olympiades/Saint-Lazare);metro
50047;14 (Olympiades/Saint-Lazare);metro
1813;14 (Olympiades/Saint-Lazare);metro
