id;station_name
1975;Abbesses
1981;Alésia
1978;Alexandre-Dumas
1980;Alma-Marceau
1982;Anatole-France
11037;Antony
1984;Anvers
1986;Argentine
1988;Arts-et-Métiers
225437;Asnieres-Gennevilliers Les Courtilles
1989;Assemblée Nationale
1992;Aubervilliers Pantin (4 Chemins)
1994;Avenue Emile-Zola
1995;Avron
1997;Balard
1999;Barbès-Rochechouart
50622;Basilique de Saint-Denis
2000;Bastille
2003;Bel-Air
2004;Belleville
1938;Bérault
2005;Bercy
51020;Bibliotheque-Francois Mitterrand
2006;Billancourt
2007;Bir-Hakeim (Grenelle)
2009;Blanche
2010;Bobigny-Pablo-Picasso
2011;Bobigny-Pantin (Raymond Queneau)
2012;Boissière
2014;Bolivar
2015;Bonne Nouvelle
2016;Botzaris
2017;Boucicaut
2018;Boulogne-Jean-Jaurès
2019;Boulogne Pont de Saint-Cloud
1930;Bourse
1933;Bréguet-Sabin
1931;Brochant
1936;Buttes-Chaumont
1937;Buzenval
1939;Cadet
1940;Cambronne
1941;Campo-Formio
1942;Cardinal-Lemoine
228266;Carrefour-Pleyel
1944;Censier-Daubenton
1949;Champs-Elysées-Clémenceau
1950;Chardon-Lagache
1951;Charenton-Ecoles
1953;Charles de Gaulle-Etoile
1952;Charles Michels
1955;Charonne
1961;Château d'Eau
1962;Château de Vincennes
1963;Château Landon
1960;Château Rouge
1964;Châtelet
1968;Châtillon Montrouge
1957;Chaussée d'Antin (La Fayette)
1958;Chemin Vert
1959;Chevaleret
1969;Cité
54244;Cluny-La Sorbonne
1972;Colonel Fabien
1973;Commerce
1885;Concorde
1887;Convention
1888;Corentin-Cariou
1889;Corentin-Celton
1890;Corvisart
1892;Courcelles
1893;Couronnes
50055;Cour Saint-Emilion
1897;Créteil-L'Echat (Hôpital Henri Mondor)
1898;Créteil-Préfecture (Hôtel de Ville)
1899;Créteil-Université
1894;Crimée
1896;Croix-de-Chavaux (Jacques Duclos)
1900;Danube
1901;Daumesnil (Félix Eboué)
1902;Denfert-Rochereau
1906;Dugommier
1907;Dupleix
1908;Duroc
1909;Ecole Militaire
23674;Ecole Vétérinaire de Maisons-Alfort
1910;Edgar-Quinet
1911;Eglise d'Auteuil
1912;Eglise de Pantin
1913;Esplanade de la Défense
1914;Etienne Marcel
1915;Europe
1916;Exelmans
1917;Faidherbe-Chaligny
1918;Falguière
1925;Félix Faure
1919;Filles du Calvaire
1923;Fort d'Aubervilliers
1924;Franklin-Roosevelt
454595;Front Populaire
2021;Funiculaire Gare basse
2022;Funiculaire Gare haute
22443;Gabriel-Péri
1927;Gaité
1928;Gallieni (Parc de Bagnolet)
1929;Gambetta
1838;Gare d'Austerlitz
1841;Gare de l'Est (Verdun)
1839;Gare de Lyon
1842;Gare du Nord
1844;Garibaldi
1846;George V
1848;Glacière
1849;Goncourt (Hôpital Saint-Louis)
1671;Grands Boulevards
1851;Guy-Môquet
1852;Havre-Caumartin
1853;Hoche
1855;Hôtel de Ville
1858;Iéna
1857;Invalides
1859;Jacques-Bonsergent
1860;Jasmin
1861;Jaurès
1862;Javel-André-Citroen
1864;Jourdain
1865;Jules Joffrin
1866;Jussieu
1867;Kléber
1868;La Chapelle
